id,quote
1,8 月 30 日，在我领导和指挥的战斗中，土耳其民族与我同在。你们知道，当一个人与他的民族一起行动时，他会感到多么强大吗？这是难以描述的。请原谅我难以描述。
2,愚昧的人们以为，把国家交给美国的授权和英国的庇护就能拯救国家。他们是在牺牲祖国和土耳其历史上的独立，以确保自己的安逸！
3,没有理性和逻辑解决不了的问题。
4,美国、欧洲和整个文明世界必须知道，土耳其人民与每一个文明和有能力的国家一样，坚定地决定无条件地自由和独立生活。任何企图推翻这一正确决定的势力都将永远是土耳其的敌人。
5,安纳托利亚是最大的宝藏。
6,如果我也像我们的朋友和国家的所有成员一样，为我们的国家事业做出了贡献，如果这项工作取得了力量和成功，请不要归功于我。只能归功于整个民族的精神人格。我很高兴能成为民族崇高精神人格中的一个微不足道的个体。 诸位大人，整个民族作为一个精神人格和一个团结的群众而出现，并通过维护这种至高无上的团结，消灭了那些敌视它的人。
7,土耳其不再是宗教和伊斯兰教法游戏的舞台。如果有这样的玩家，他们应该去其他地方寻找舞台。
8,几个世纪以来，那些统治土耳其的人想过很多事情，但他们没有想到的只有一件事：土耳其......只有一种办法可以弥补土耳其祖国和土耳其民族因这种轻率而遭受的损失：那就是在土耳其只想着土耳其。只有以这种心态行事，我们才能实现各种拯救和福利目标。
9,我毫不怀疑，土耳其被遗忘的文明品质和伟大的文明能力，随着它的进一步发展，将像新太阳一样在未来高度文明的地平线上冉冉升起。当我的这些话成为现实的那一天，我对你们和所有文明人类的愿望就是：记住我：请记住我。
10,我们在很短的时间内完成了许多伟大的事业。其中最伟大的事业就是土耳其共和国，而土耳其共和国的基础就是土耳其的英雄主义和高尚的土耳其文化。
11,1919 年 5 月，在我出发前往萨姆松的那天，我没有任何物质力量可以支配。我只有一股来自伟大的土耳其民族的崇高精神力量，这股力量充满了我的良知。我依靠这股民族力量，这股土耳其民族的力量开始工作。
12,我的精神遗产是知识和理性。那些想在我之后继承我的人，如果接受理性和科学在这个基本轴心上的指导，就会成为我的精神继承人。
13,我原谅他们，是因为我有心；他们不原谅我，是因为他们无情。
14,我不想为了结婚而结婚，要在我们的祖国创造新的家庭生活，我自己必须先做出榜样。 女人还能像妖怪一样吗？
15,即使在战场上，我也不记恨敌人，我只想着遵守军事规则。
16,看到我并不一定意味着看到我的脸。只要你理解并感受到我的想法、我的感情就足够了。
