id,quote
1,"Il 30 agosto, la nazione turca era con me nella battaglia che ho condotto e diretto. Sapete quanto si sente forte una persona quando agisce insieme alla sua nazione? È difficile da descrivere. Dovete perdonarmi se ho difficoltà a descriverlo."
2,Gli sciocchi pensano che il Paese si salverà abbandonandolo al mandato americano e al patrocinio britannico. Stanno sacrificando una patria e l'indipendenza turca che è durata nel corso della storia per garantire i propri comodi!
3,Non c'è problema che la ragione e la logica non possano risolvere.
4,"L'America, l'Europa e tutto il mondo civilizzato devono sapere che il popolo turco, come ogni nazione civile e capace, ha fermamente deciso di vivere incondizionatamente libero e indipendente. Qualsiasi forza che tenti di rovesciare questa giusta decisione rimarrà l'eterno nemico della Turchia."
5,L'Anatolia è il tesoro più grande.
6,"Se, come i nostri amici e tutti i membri della nazione, anch'io ho contribuito alla nostra causa nazionale, se c'è forza e successo in questo lavoro, non attribuitelo a me. Attribuitelo solo e soltanto alla personalità spirituale dell'intera nazione. Sono felice di essere un individuo insignificante all'interno di questa alta personalità spirituale della nazione. Miei signori, la nazione nel suo insieme è emersa come personalità spirituale e come massa unita e, preservando questa suprema unità, ha eliminato coloro che le erano ostili."
7,"La Turchia non è più un palcoscenico per i giochi della religione e della sharia. Se ci sono giocatori di questo tipo, dovrebbero cercare un palcoscenico altrove."
8,"Coloro che hanno governato la Turchia per secoli hanno pensato a molte cose, ma non hanno pensato a una sola cosa: La Turchia... C'è un solo modo per compensare i danni subiti dalla patria e dalla nazione turca a causa di questa sconsideratezza: Pensare solo alla Turchia in Turchia. Solo agendo con questa mentalità possiamo raggiungere ogni tipo di salvezza e di benessere."
9,"Non ho dubbi che la dimenticata qualità civile e la grande capacità civile della Turchia, con il suo ulteriore sviluppo, sorgerà come un nuovo sole all'orizzonte dell'alta civiltà del futuro. Il giorno in cui queste mie parole si avvereranno, il mio augurio per voi e per tutta l'umanità civilizzata è questo: Ricordatevi di me."
10,"Abbiamo fatto molte e grandi cose in poco tempo. La più grande di queste opere è la Repubblica di Turchia, il cui fondamento è l'eroismo turco e l'alta cultura turca."
11,"Il giorno in cui partii per Samsun, nel maggio 1919, non avevo alcuna forza materiale a disposizione. Avevo solo una forza elevata e spirituale che derivava dalla nobiltà della grande nazione turca e che riempiva la mia coscienza. Ho iniziato a lavorare facendo affidamento su questa forza nazionale, questa nazione turca."
12,"Non lascio come eredità spirituale nessun nass-ı rigido"", nessun dogma, nessuna regola congelata e modellata. La mia eredità spirituale è la conoscenza e la ragione. Coloro che vorranno adottarmi dopo di me saranno i miei eredi spirituali se accetteranno la guida della ragione e della scienza su questo asse fondamentale."
13,Io li perdono perché ho un cuore; loro non mi perdonano perché sono senza cuore.
14,"Non voglio sposarmi solo per il gusto di sposarmi. Per creare una nuova vita familiare nella nostra patria, devo prima dare l'esempio io stessa. Può una donna rimanere come uno spauracchio?"
15,"Anche in battaglia, non nutro alcun rancore verso il nemico; penso solo all'applicazione delle regole militari."
16,"Vedermi non significa necessariamente vedere il mio volto. È sufficiente che tu capisca e senta le mie idee, i miei sentimenti."
17,"Ho la reputazione di essere un gran bevitore. L'avrete sentito dire anche voi. In realtà, bevo da molto tempo, mi piace bere. Ma smetto di bere quando voglio. Non metto mai una goccia in bocca durante il mio servizio. Non mischio gli alcolici agli affari della patria. Il bere e il dovere sono due cose diverse. Quando si influenzano a vicenda, il dovere dovrebbe ovviamente essere preferito al piacere e il bere dovrebbe essere interrotto immediatamente."
18,"Non ho una religione e a volte vorrei che tutte le religioni finissero in fondo al mare. Sono i governanti deboli che hanno bisogno di usare la religione per tenere in piedi il loro governo. Intrappolano il popolo in una trappola. Il mio popolo imparerà i principi della democrazia, i dettami della verità e gli insegnamenti della scienza. La superstizione deve essere abbandonata. Ognuno può praticare il proprio culto come vuole. Ognuno segue la voce della propria coscienza. Ma questo comportamento non deve essere in contraddizione con il buon senso e non deve opporsi alla libertà degli altri."
19,Non c'è nulla nei miei occhi; sono solo un amante del merito.
20,"Il mio umile corpo sicuramente un giorno diventerà polvere, ma la Repubblica di Turchia rimarrà eterna. E la nazione turca continuerà a camminare sul sentiero della civiltà, senza esitazioni, con i principi che garantiscono sicurezza e felicità."
21,"I miei doveri verso la nazione turca, la società turca e il futuro della turchità non sono finiti; li completerete voi. Anche voi dovreste ripetere le mie parole a coloro che verranno dopo di voi."
22,"Un governo è buono o cattivo? Per capire quale governo sia buono o cattivo, è necessario pensare a ""Qual è lo scopo del governo?"". Il governo ha due obiettivi. Uno è quello di proteggere la nazione, il secondo è quello di assicurare il benessere della nazione. Un governo che assicura queste due cose è buono, mentre un governo che non riesce a farlo è cattivo."
23,"In una parola, possiamo dire che il nuovo Stato turco è uno Stato del popolo, è lo Stato del popolo. Le istituzioni del passato erano uno Stato di individui, uno Stato di personalità."
24,"Cosa può mancare a una società? Ci sono forze che fanno di una nazione una nazione, che la fanno progredire e sviluppare: Le forze del pensiero, le forze sociali. Se i pensieri sono pieni di sciocchezze senza senso, inutili, inconcepibili, quei pensieri sono malati. Anche la vita sociale, se è piena di usanze e tradizioni inutili e dannose, lontane dalla ragione e dalla logica, non può essere considerata vita. Non può progredire, non può svilupparsi e rimane a galla, come l'ictus."
25,"Ci diremo sempre la verità. Che porti disastri o felicità, che sia buona o cattiva, ci atterremo sempre alla verità."
26,Il progresso di una nazione dipende dall'educazione dei suoi giovani.
27,"Può arrivare un momento in cui si cerca di dimenticarmi o di farmi dimenticare. Ci possono essere persone che negano le mie idee e mi criticano. Potrebbero anche essere tra coloro che conosco e a cui credo molto. Tuttavia, i semi che abbiamo gettato sono così succinti e forti che queste idee torneranno dall'India e dall'Egitto, torneranno ancora e i loro risultati fecondi riempiranno i cuori."
