id,quote
1,8月30日、トルコ国民は私が指揮し、指揮した戦いの中で、私と共にいた。国民とともに行動するとき、人がどれほど強く感じるかわかるだろうか。これを表現するのは難しい。表現が難しくてもお許しいただきたい。
2,愚か者たちは、アメリカの委任統治とイギリスの庇護に国を委ねることで、国が救われると考えている。彼らは自分たちの安楽を確保するために、祖国と歴史を通じて続いてきたトルコの独立を犠牲にしているのだ！
3,理性と論理で解決できない問題はない。
4,アメリカ、ヨーロッパ、そして文明世界全体は、トルコ国民があらゆる文明的で有能な国家と同様に、無条件に自由で独立して生きることを固く決意したことを知らなければならない。この正当な決定を覆そうとするいかなる勢力も、トルコの永遠の敵であり続けるだろう。
5,アナトリアは最大の宝である。
6,私たちの友人やすべての国民と同じように、私もまた国家的大義に貢献し、この仕事に力と成功があったとしても、それを私のせいにしてはならない。あくまでも、国民全体の精神的人格に帰するのだ。諸侯よ、国家は全体として精神的人格として、また団結した塊として出現し、この最高の団結を維持することによって、国家に敵対する者たちを排除したのです。
7,トルコはもはや宗教とシャリアのゲームの舞台ではない。もしそのようなプレイヤーがいるのなら、他の舞台を探すべきだ。
8,何世紀にもわたってトルコを統治してきた人々は、多くのことを考えたが、たった一つのことを考えなかった：この無思慮のためにトルコの祖国とトルコ国民が被った損害を補償する方法はただ一つ：それは、トルコにおけるトルコのことだけを考えることである。このメンタリティで行動することによってのみ、我々はあらゆる救済と福祉の目標を達成することができるのだ。
9,忘れ去られたトルコ人の文明的資質と偉大な文明的能力は、そのさらなる発展とともに、未来の高い文明の地平線に新しい太陽のように昇ることを、私は信じて疑わない。私のこの言葉が実現する日、あなた方と文明化された全人類に対する私の願いはこうである：私を忘れないでください。
10,我々は短期間に多くの偉大なことを成し遂げてきた。その最も偉大なものがトルコ共和国であり、その基盤となっているのがトルコのヒロイズムと高いトルコ文化である。
11,1919年5月、サムスンに向けて出発した日、私には自由に使える物質的な力はなかった。私にあったのは、偉大なるトルコ民族の気高さと私の良心を満たす精神的な力だけであった。私はこの民族的な力、すなわちトルコ民族に頼って仕事を始めた。
12,私の精神的遺産は知識と理性である。私の後に私を養子にしようとする者は、この基本的な軸について理性と科学の導きを受け入れるならば、私の精神的相続人となるだろう。
13,私が彼らを許すのは、私に心があるからだ。
14,ただ結婚するために結婚するのではなく、祖国で新しい家庭生活を築くためには、まず私自身が模範を示さなければならないのです」。 女は化けの皮が剥がれたままでいいのだろうか。
15,戦場でも敵を恨むことはなく、軍規の適用だけを考える。
16,私を見るということは、必ずしも私の顔を見るということではない。私の考え、私の気持ちを理解し、感じてもらえれば十分だ。
17,私は大酒飲みだという評判がある。それも聞いたことがあるだろう。実のところ、私は長い間飲んできたし、飲むのは好きだ。でも、飲みたいときには飲むのを止める。勤務中は一滴も口に入れない。祖国のことに酒を混ぜたりはしない。酒と義務は異なるものだ。互いに影響し合うものであるならば、当然、義務は快楽よりも優先されるべきであり、飲酒は直ちに止めるべきである。
18,私は宗教を持っていないし、すべての宗教が海の底に沈んでしまえばいいのにと思うこともある。 政府を維持するために宗教を利用する必要があるのは、弱い支配者たちだ。彼らは国民を罠にはめる。私の国民は民主主義の原則、真実の指示、科学の教えを学ぶだろう。迷信は捨てなければならない。誰でも好きなように礼拝することができる。誰もが自分の良心の声に従う。しかしこの行動は、常識に反するものであってはならないし、他人の自由に反対するものであってはならない。
19,私の目には何も映っていない。
20,私の謙虚な肉体はいつか必ず塵と化すが、トルコ共和国は永遠であり続ける。そして、トルコ民族は、安全と幸福を保証する原則のもと、ためらうことなく、文明の道を歩み続けるだろう。
21,トルコ国家、トルコ社会、そしてトルコ人の未来に対する私の責務は終わったわけではない。あなたもまた、私の言葉を後に続く人々に繰り返し伝えるべきだ。
22,政府は善か悪か？政府の善し悪しを理解するためには、「政府の目的は何か」を考える必要がある。政府には2つの目的がある。ひとつは国家を守ること、もうひとつは国家の福祉を保障することだ。この2つを保証する政府は善であり、それを怠る政府は悪である。
23,一言で言えば、新しいトルコ国家は人民国家であり、人民の国家である。過去の制度は個人の国家、人格の国家であった。
24,社会に欠けているものは何だろう？国家を国家たらしめ、前進させ、発展させる力がある：思考の力、社会の力だ。もし思考が無意味で、役に立たない、想像もつかないナンセンスなもので満ちているなら、その思考は病んでいる。また、社会生活が、理性や論理からかけ離れた、無益で有害な慣習や伝統に満ちているならば、それは人生とは言えない。進歩することも、発展することもできず、脳卒中のようにじたばたしたままである。
25,私たちは常に真実を伝え合う。それが災いをもたらすものであれ、幸福をもたらすものであれ、良いことであれ、悪いことであれ、私たちは常に真実を貫く。
26,国家の発展は青少年の教育にかかっている。
27,私を忘れようとしたり、忘れさせようとしたりすることがあるかもしれない。私の考えを否定し、批判する人たちがいるかもしれない。私が親しく知り、信じている人たちの中にもいるかもしれない。しかし、私たちが蒔いた種はとても簡潔で力強いものであり、これらの考えはインドやエジプトから戻って来て、また戻って来て、その実りある結果は人々の心を満たすだろう。
28,作品が道徳的価値を持つためには、個々の人間よりも高い源泉から発せられるものでなければならない。その源泉とは共同体であり、国家である。実際、道徳とは、私的な個人を離れ、その上にあるものであり、社会的なもの、国民的なものでなければありえない。国家の社会秩序と平穏、現在と将来の繁栄と幸福、平和と繁栄、文明の進歩と発展のために、人々に関心と熱意と自己犠牲と、必要な場合には進んで自己犠牲を求めるのが国民道徳である。完全な国家においては、国民道徳の要求は、その国家の成員によって、良心的で感情的な衝動によって、ほとんど判断なしになされる。これが最大の国民感情であり、国民的興奮である。国民的な母親、国民的な父親、国民的な教師、国民的な年長者が、家庭で、学校で、軍隊で、工場で、あらゆる場所で、あらゆる仕事で、国民の子供たち、国民のすべての構成員に対して、たゆまず継続的に行う国民教育の目的は、この高い国民感情を強化することでなければならない。道徳が国民的、社会的なものであり、国民の良心の表れであるということは、同時に道徳の神聖な性格を認めることでもある。道徳が神聖であるのは、それに匹敵する価値がなく、他のいかなる価値によっても測ることができないからである。道徳が神聖であるのは、それが最大の道徳的意図を持つ主体に帰属するからである。その主体とは社会であり、社会だけである。彼以外の主体は存在しない。神性には、模範的な方法で考えられた共同体さえも内在している。なぜなら、私たちの良心に影響を与える精神生活は、社会の構成員の行いと行動から形成されるからである。実のところ、社会は知的・道徳的活動の中心である。
29,我々は西洋文明を模倣するために西洋文明を取り入れるのではない。私たちが西洋文明の良いところを取り入れるのは、それが世界文明のレベルの中で私たち自身の構造に適していると考えるからだ。
30,無知といっても、学校で勉強していない人のことではない。私たちが意味するのは知識であり、真実を知ることである。
31,私たちは、生命と独立のために闘っている人々であり、こうした血なまぐさい闘争を目の当たりにし、文明世界全体が無感覚な観客として傍観している姿に心を痛めている。
32,私たちは、たったひとつの基本的な考え方に基づいて、あらゆる手段を駆使する。そのビジョンとはこれである：トルコ民族を文明世界においてそれにふさわしい地位に引き上げ、トルコ共和国をその揺るぎない基盤の上に日々強化すること......そしてこの目的のために、専制政治という考えを抹殺すること......。
33,我々は民主主義者でも社会主義者でもない。私たちの行政スタイルは、民主主義政府のものでも社会主義者のものでもない。私たちは自分たちに似ていると自負している。
34,私たちの考えでは、トルコ共和国の意味において、女性はトルコの歴史全体と同様、今日においても、何よりも尊敬に値する高貴で名誉ある存在である。
