id,quote
1,"30 sierpnia naród turecki był ze mną w bitwie, którą prowadziłem i kierowałem. Czy wiesz, jak silny czuje się człowiek, gdy działa razem ze swoim narodem? Trudno to opisać. Musicie mi wybaczyć, jeśli mam trudności z opisaniem tego."
2,"Głupcy myślą, że kraj zostanie ocalony poprzez oddanie go pod amerykański mandat i brytyjski patronat. Poświęcają ojczyznę i turecką niepodległość, która przetrwała całą historię, aby zapewnić sobie komfort!"
3,"Nie ma problemu, którego rozum i logika nie mogłyby rozwiązać."
4,"Ameryka, Europa i cały cywilizowany świat muszą wiedzieć, że naród turecki, jak każdy cywilizowany i zdolny naród, zdecydowanie zdecydował się żyć bezwarunkowo wolny i niezależny. Każda siła, która spróbuje obalić tę słuszną decyzję, pozostanie odwiecznym wrogiem Turcji."
5,Anatolia jest największym skarbem.
6,"Jeśli, podobnie jak nasi przyjaciele i wszyscy członkowie narodu, ja również przyczyniłem się do naszej narodowej sprawy, jeśli w tej pracy jest siła i sukces, nie przypisujcie tego mnie. Przypisujcie to tylko i wyłącznie duchowej osobowości całego narodu. Jestem szczęśliwy, że jestem nieznaczącą jednostką w tej wysokiej duchowej osobowości narodu. Moi panowie, naród jako całość wyłonił się jako duchowa osobowość i jako zjednoczona masa, a zachowując tę najwyższą jedność, wyeliminował tych, którzy byli mu wrodzy."
7,"Turcja nie jest już sceną dla gier religijnych i szariatu. Jeśli są tacy gracze, powinni poszukać sceny gdzie indziej."
8,"Ci, którzy rządzili Turcją przez wieki, myśleli o wielu rzeczach, ale nie myśleli tylko o jednej: Turcji... Jest tylko jeden sposób, aby zrekompensować szkody poniesione przez turecką ojczyznę i naród turecki z powodu tej bezmyślności: Trzeba myśleć tylko o Turcji w Turcji. Tylko działając z taką mentalnością możemy osiągnąć wszelkiego rodzaju cele zbawienia i dobrobytu."
9,"Nie mam wątpliwości, że zapomniana cywilizowana jakość i wielka cywilizowana zdolność tureckości, wraz z jej dalszym rozwojem, wzejdzie jak nowe słońce na horyzoncie wysokiej cywilizacji przyszłości. W dniu, w którym te moje słowa się spełnią, moje życzenie dla was i dla całej cywilizowanej ludzkości jest następujące: Pamiętajcie o mnie."
10,"W krótkim czasie dokonaliśmy wielu wielkich rzeczy. Największym z tych dzieł jest Republika Turcji, której fundamentem jest turecki heroizm i wysoka turecka kultura."
11,"W dniu, w którym wyruszyłem do Samsun w maju 1919 roku, nie dysponowałem żadną siłą materialną. Miałem tylko wysoką i duchową siłę wynikającą ze szlachetności wielkiego narodu tureckiego i wypełniającą moje sumienie. Zacząłem pracować, polegając na tej narodowej sile, na tym tureckim narodzie."
